Text ,Label
" The people I enjoy talking to are people way older than me where we can talk about politics, life...etc",depressive
when it comes to people my own age I struggle since those things are boring to them especially girls. ,depressive
Really sucks but we all have our struggles,depressive
Am sad many times for reasons I don't know,depressive
Also is it okay for me to take antidepressants? I really need them,depressive
"I want to die,But I want to live",depressive
I feel heavy all the time. I have a bad reputation of being immoral. I want a new life but its difficult since everyone around sucks,depressive
 I can't be trusted. It sucks and hurts alooot. So sometimes I feel then I just dive deeper in my addictions,depressive
Sometimes it makes me feel sucidal and I hate it more coz I don't want to do it and hurt the people around me,depressive
Sometimes I wish no one cared so I could just do it anyway and dissapear forever.,depressive
Do I have a chance to redeem my name?,depressive
"got me a new obession,already to be disappointed again",depressive
I am suffering from severe stress due to being single,depressive
"I don't know how to find a partner. I've lost weight, lost my appetite and everyday is a struggle with constant sadness.",depressive
I just turned 3non-depressive. I am afraid I will slip into depression,depressive
My best friend always gets close to the people I really like or date/dated,depressive
"He always gets a way to communicate with them like on social media and such. The people I like, date or dates also get close to him",non-depressive
" I, on the other hand, never get close to his ex's or the people he likes coz I find it crossing the boundaries.",non-depressive
 His behaviour makes me feel bad and over think what they say or do behind my back.,depressive
 I have told him how I feel before and he is well aware. Is this feeling normal? Am I over reacting,depressive
How do I deal with this? I don't want to loose the friendship but his behaviour sometimes makes me mad ,depressive
I long for sexual intimacy. Am I cheap if I have sex with a man early without knowing him well,depressive
If a man says no when I ask for sex does it mean he isn't attracted to me,depressive
"'m 35 single, never been in relationship. I used to think success money connections would attract everything",depressive
 I've ever wanted like a loving wife and family,non-depressive
" just loving oneself inspite of everything going on the world, i'll never achieve it.",depressive
i want is just a simple decision and will to do it. But without the action all hope is lost.,depressive
The mind can be a prison. I just hope I'll overcome my limiting beliefs and inactions on the things I simply truly want,depressive
How do I stop the negative narratives and unfounded beliefs that I'll never be good enough or worthy of this simple task. ,depressive
If love is truly a verb then I think I'm fucked.,depressive
About toxic colleagues. Why is it a problem when colleagues see you thriving and always want to bring you down.,depressive
"I am 29 , in senior management and a 55 year old colleague just makes my life a living hell. He’s too toxic, I hate this life",depressive
Its really affecting me emotionally and feeling so drained!!Its my first time getting ghosted at 25yrs not fun at all,depressive
I' really disturbed idk what to do I just feel like crying a lot and possibly hurting myself,depressive
Most of these mental issues we are reading about on this platform are drug-induced. By default,non-depressive
our brains have the capacity to deal flawless with issues that the current generation is facing like unemployment,non-depressive
Youths have messed with this brainpower by use of hardcore drugs hence the high rates of depressives,non-depressive
 I have always listened to my dear youths on this platform,non-depressive
ANGRY BITTER WOMAN SYNDROME!!!is real affecting women from 25yr and above,depressive
Am am hating myself and Everything I love.Alot of suicidal thoughts,depressive
"I wanna cry but I've run ouf of tears,I wanna die but I also wanna live",depressive
I feel so sad and hopeless. I don't know what to do.,depressive
I'm not sure how I'm feeling right now. I'm just kind of numb.,non-depressive
I'm feeling great! I'm so happy and excited about the future.,non-depressive
"I've been feeling really down lately. I don't know why, but I just can't seem to shake it.",depressive
"I'm feeling okay today. I'm not really happy or sad, I'm just kind of in the middle.",non-depressive
I'm so excited for my new job! I've been looking forward to this for months.,non-depressive
I'm so tired all the time. I can barely get out of bed in the morning.,depressive
I'm not sure what I want to do with my life. I feel like I'm just drifting.,non-depressive
I'm so happy to be graduating! I can't wait to start the next chapter in my life.,non-depressive
I'm so stressed out about my exams. I don't know how I'm going to pass them all.,depressive
I'm not really feeling anything right now. I'm just kind of empty.,non-depressive
I'm so excited to go on vacation! I can't wait to relax and have some fun.,non-depressive
I'm so angry at my boss. He's always picking on me.,depressive
I'm not sure what I'm supposed to do with my life. I feel like I'm just wasting time.,non-depressive
I'm so happy to be spending time with my family. I love them so much.,non-depressive
I'm so worried about my health. I've been feeling sick for a while now.,depressive
I'm not really feeling anything right now. I'm just kind of indifferent.,non-depressive
I'm so excited to start my new job! I can't wait to meet new people and learn new things.,non-depressive
I'm so lonely. I wish I had more friends.,depressive
I'm not sure what I want to do with my life. I feel like I'm just drifting.,non-depressive
I'm so happy to be graduating! I can't wait to start the next chapter in my life.,non-depressive
I'm so stressed out about my exams. I don't know how I'm going to pass them all.,depressive
I'm not really feeling anything right now. I'm just kind of empty.,non-depressive
I'm so excited to go on vacation! I can't wait to relax and have some fun.,non-depressive
I'm so angry at my boss. He's always picking on me.,depressive
I'm not sure what I'm supposed to do with my life. I feel like I'm just wasting time.,non-depressive
I'm so happy to be spending time with my family. I love them so much.,non-depressive
I'm so worried about my health. I've been feeling sick for a while now.,depressive
I'm not really feeling anything right now. I'm just kind of indifferent.,non-depressive
I feel so sad and hopeless.,depressive
The weather is nice today.,non-depressive
I can't stop crying.,depressive
I enjoyed the movie last night.,non-depressive
Life is meaningless.,depressive
I had a great time with my friends.,non-depressive
I don't want to get out of bed.,depressive
I like listening to music.,non-depressive
I feel like giving up.,depressive
Today was a busy day at work.,non-depressive
I don't want to talk to anyone.,depressive
I love spending time with my family.,non-depressive
Everything seems pointless.,depressive
I'm looking forward to the weekend.,non-depressive
I don't see a way out of this.,depressive
I'm feeling motivated today.,non-depressive
I can't find joy in anything.,depressive
The book I'm reading is interesting.,non-depressive
I feel overwhelmed.,depressive
I'm excited about the new project.,non-depressive
I don't want to get out of bed.,depressive
The food at the restaurant was delicious.,non-depressive
I feel like nobody understands me.,depressive
I had a productive day at work.,non-depressive
Nothing brings me happiness anymore.,depressive
I enjoy taking long walks in nature.,non-depressive
I just want to disappear.,depressive
Today is a beautiful day.,non-depressive
I feel like a failure.,depressive
I'm grateful for my friends.,non-depressive
"Obese children are more prone to depression, low self-esteem, and negative body image -- but #health and #nutrition programs ( ) can help!  #LAsBESTGAMES donate to my team!  Ã¢Â€Â¦",depressive
 Because it stops .y depression,depressive
"Me: *sigh*Mum: What's wrong?Me: TiredMum: Tired? You haven't even done anything!...........You don't have to do things to get tired. It's called depression. Hi, how are you doing?",depressive
"Hi there, my name is Kuuku. Are you struggling with disappointment, depression, suicidal thoughts, anger, or do you feel lost and left behind in life? I have also been in situations in which I needed someone to talk to. You can definitely talk to me. DM me",depressive
25-non-depressive4-2non-depressivedepressive8,depressive
" Inquisition all the way because I relate to some of the characters so much. Also this game helped me though some major depression, it helped me to push some really dark times in my life",depressive
Deepika talks about her days of depression at the TIME depressivedepressivenon-depressive GALA #indiaforums,depressive
Depression is a prison where you  the suffering prisoner and the cruel jailer.,depressive
Have I got Postnatal Depression or is it birth trauma?    #mums #pregnancy #maternity #bump #maternalhealth #PTSD #birthstory #matexp #birthtraumachat #maternitymatters #anxiety #pbloggers #PNMH #babies #parenting #motherhood #PND #postpartum #royalbaby pic.twitter.com/otdrHwyl4R,depressive
" Jackie, have you read Spurgeon's Sorrows by  It's must-read material if the subject of Christianity and depression is interesting to you.",depressive
Depression's such a villainous state.,depressive
I'm going off twitter for a bit. Feeling depressed. Since the passing of my auntie. Im too upset for this. Especially the stress of being ignored sometimes. Which adds to the depression.,depressive
Reading this helped me. Maybe good for Japanese friends struggling with anxiety or depression.   Ã¢Â€Â¦,depressive
"   The fact is that a recession that could have turned into a depression was stopped in 2 yrs by Rep Pres Coolidge cutting Govt spending leaving more in the Free Mkt & Individual Liberty sector creating growth & jobs vs Hoover & FDR increasing Govt spending, causing 2non-depressive yr Depression",depressive
"I broke my back carrying the burden of this dunya.Love broke me, hate shattered me, depression numbed me, and anxiety ignited my end. How naive of my soul, to burden it so heavily?Ya Rab, when I turned to You, all my worries were but a feather.  pic.twitter.com/YiyGUBqAsa",depressive
"i wish i could just have one day where i was actually happy but alas,,,, my depression and bpd will not let that happen c:",depressive
Tomorrow's friendly: AC McCann vs Sevilla Depression. Ã‚Â£2 entry. Udepressive6s free.,depressive
when you've got a fever and then caused u a depression,depressive
Going back and istening to an older album of an artist who went public with depression is nutty.,depressive
 When I was off with depression I had to have medical proof ( ie what medication I was on ),depressive
"really want to do some art but not feeling motivated *cough cough* slight depression *cough*but yea I'll try and get that redraw done soon, altho there are a lot of projects that I have to do for school and other homework",depressive
Jonghyun is dead because of depression. People pls stop sleeping about mental issues #Ã«Â°Â•Ã«Â´Â„Ã¬Â ÂœÃ«Â°ÂœÃ«Â‚Â´Ã«Â²Â„Ã«Â Â¤Ã«Â‘ÂÃ¬Â„Â¸Ã¬ÂšÂ”,depressive
 I'm goin through depression lol,depressive
I am NOT going to allow my depression to take over my life again. my mental health is going downhill again and i'm not going to let it.,depressive
"I know you say it helps and I ain't trying to offend, but I know depression and drug addiction don't blend",depressive
"Smiling, even when it's forced, indicates to your mind that you're happy. This in turn causes the brain to release endorphins,"" the body's """"feel-good"""" chemicals that combat depression and anxiety.   ",depressive
"In this episode, we address questions specifically related to parenting teenagers, dealing with respect, the reasons for increased anxiety and depression in teens, and managing technology in the home!  Ã¢Â€Â¦",depressive
Memes cover my depression,depressive
The Third Great Depression & rise of the far-right: experiences In #Turkey the Islamist right garners support in rural areas by promoting social welfare and subsidy programmes.The left needs to put farmers and workers at the centre of class-based struggle  Ã¢Â€Â¦,depressive
Exercising for 2non-depressive minutes-a-day cuts risk of developing depression by one third    #health,depressive
hi this thread cured my depression   Ã¢Â€Â¦,depressive
 My theory is getting stuck behind slow drivers leads to depression. After the fits of rage of course.,depressive
Drax the destroyer cured my depression,depressive
 Yeah season 4 ain't even available on netty yet. D and I are halfway through season 3 and I swear this show induced a specific type of depression.,depressive
"My sister has referred all motherly duties to me, for her daughter. She doesn't wanna hear about marital problems bc she gets over worries and gets actual depression. My niece won't go to the other 2 aunts bc ones silly and ones too hot headed. Im the cool headed wisdomous one <Emoji: Rolling on the floor laughing>",depressive
"I'll just add that #FrostPunk has banished Banished as the survival city builder game. Banished is great, but it lacks the crushing depression and hard decisions on child labor. ALL PATHS LEAD TO CHILD LABOR, DON'T BE DECEIVED BY THE PROPAGANDA.... *waits for propaganda dlc*",depressive
 I don't like to say that I'm going through depression. It's just a state of mind.I can control it and sometimes I really enjoy it,depressive
depression gives,depressive
2 things FWAFA will give me a diploma and depression. But only one of those things will stick to me for the rest of my life...and it isn't the diploma,depressive
Depressed or Just Sad? 5 Signs of Depression - Many Words One Voice   ,depressive
" Sadly, I feel a lot of deeply depressed souls have developed an incredible way of masking their depression to the world, in fear of being wrongly judged.",depressive
 Yea...I've got depression and anxiety,depressive
DEPRESSION. STRESS. ANXIETY. SELF-PITY.That stupid things that sucks us down. And it's happening it to me right now.HOW DO YOU DEAL WITH THAT FAM? PLEASE LET ME KNOW.,depressive
in cars porn star evan stone mountain bike sex depression homosexuality best depressivenon-depressivenon-depressive porn stars ameture nude   pic.twitter.com/yBGcZBur7Z,depressive
Depression death....   Ã¢Â€Â¦,depressive
The weather outside today is what depression looks like.,depressive
   breaking your depression one layer at a time?,depressive
Tag your level of depression  pic.twitter.com/PAwFqcsrUM,depressive
"Depression, anxiety and mental breakdowns...",depressive
Study finds exercise may lower risk of depression   Ã¢Â€Â¦,depressive
We shape diverse transformations can we escape the political body depression of bodies borders definition architecture shapes,depressive
Our team is proud to be involved in  we are here today hearing recent updatesOptimising the benefits of #pulmonaryrehab by aiming to reduce anxiety & depression,depressive
Time to listen to some depression music and look out the window with this rainy weather,depressive
Funclickearn -   Ã¢Â€Â¦Exercise may lower the risk of depression: StudyPhysical activity can p...  pic.twitter.com/UCYaPYSjSI,depressive
usually what happens when i try to talk more...#anxiety #noonecares #depression #sad #depressed #bpd pic.twitter.com/hmwNcFkEFr,depressive
It's hard for someone who has depression to admit they have depression because majority of these people doesn't really have the reason to have depression and that's actually what makes what their feeling worse.,depressive
 More great media coverage on study results obtained from  data analysis #anxiety #depression #medicalmarijuana #medicalcannabis  ,depressive
What if all along I had depression but decided not to face it with the mentality that my life could really get better,depressive
My aunt gets depression it will be hard cause her husband passed away my uncle    Please comment or like or give me some tips that can help her pic.twitter.com/wZQHzej8vi,depressive
depression is such a villainous state,depressive
Excellent! Brain decided today was a depression day! :D,depressive
" Sure, I mean, it worked so well in the depressive93non-depressives. Cleared the depression right up.",depressive
" i'm not on twitter as much as i was... is there a way i can get all your tweets sent to me?  when i do come on, i'm really just checking out yours because i feel we're dealing with similar shit and riding the wave of depression / anxiety. i write much more on fb where you're not.",depressive
"i mean, probably he was way more depressed than Bom, but depression is depression and you don't know how it evolves with the time.i want her happiness, i don't want to lose her 'cuz of a fucking disorder and if that's a treatable thing BITCH LET HER CURE HERSELF w/ these pills.",depressive
Great Gatsby Setting As a Prequel to the Great Depression -   Ã¢Â€Â¦,depressive
Poor recognition of #depression and #anxiety is associated with reduced quality of life and survival. #cancer  Ã¢Â€Â¦,depressive
I need to update my gem chat blog to fight my creeping depression.,depressive
Exercising for 2non-depressive minutes-a-day cuts risk of developing depression by one third   Ã¢Â€Â¦ via ,depressive
DEPRESSION IS NO JOKE.    #Ã«Â°Â•Ã«Â´Â„Ã¬Â ÂœÃ«Â°ÂœÃ«Â‚Â´Ã«Â²Â„Ã«Â Â¤Ã«Â‘ÂÃ¬Â„Â¸Ã¬ÂšÂ”,depressive
"When there's no time for depression. Cheers to another 3D 3N of books, food, coffees and sleepless nights. <Emoji: Female teacher (light skin tone)><Emoji: Books> I'll be back on Tuesday, things are just getting worse <Emoji: Pensive face>  pic.twitter.com/r33NHIns8x",depressive
 EXACTLY!!! I have never heard someone explain it that way but that's exactly how I explain it to my husband. It's sad there aren't more mainstream books for the real person with real problems. Depression isn't playing the victim which sometimes people and things explain it to be.,depressive
  U didnt say anything about depression or suicide?,depressive
i measure my depression by the amount of my ex's tshirts im able to wear in one week,depressive
"#Depression affects up to 2non-depressive%, and #anxiety depressivenon-depressive%, of patients with #cancer, compared with figures of 5% and 7% for past-year prevalence in the general population.  Ã¢Â€Â¦",depressive
 I wrote about expat depression on my blog. Started as one post. It got more hits than anything else I had written about. So I wrote a whole series. Which ended up with me getting a commission from WSJ for an article about the subject.,depressive
 Actually we will be lucky if it is not Great Depression 2,depressive
"Inflammation contributes to disease pathogenesis in peripheral (neuropathic pain, fibromyalgia) & central nervous systems; Alzheimer, Parkinsons, multiple sclerosis, motor neuron disease, ischemia, traumatic brain injury, depression, & #Autism.   ",depressive
More than depressive in 2non-depressive US children and teens have #anxiety or #depression   Ã¢Â€Â¦,depressive
"5TH WAVE x ALL THE BRIGHT PLACESIn climate change ravaged America, Beth is the lone survivor of a plague. As she walks to the Grand Canyon with a stranger by her side, she must learn to forgive herself for surviving or lose her trust in life to depression.#DVPit #YA #MH #OWN",depressive
"Depression is not a joke sweetie. I've been in depression until now. I cry for no reason, I laugh for no reason. There a time I hurt myself. I hit my head at the wall or slap my face. Its hurt but my heart is hurt even more.",depressive
Tonight is the Night where it's all Depression naps but No Energy Recovered folks,depressive
"Depression recovery is a long process with ups & downs, but I just said the failure I regret most in my life is never having managed to grow a pineapple plant from a pineapple top & genuinely meant it, so that has to be encouraging",depressive
 I've recently come off my medication for depression/anxiety and I know I'm going to regret that tomorrow #numbmetomybones,depressive
 Together we can fight. I suffer with depression and am constantly reminded that I'm not good enough. Continue to be strong we are here for you.,depressive
BTS saved me from committing suicide.I hv never told anyone abt dis but today I want to share. I knw giving up is not the only choice but during severe depression u can't think of something else. I m learning from them.I m working hard nd I m better now. Thanks to BTS. <Emoji: Heavy red heart>,depressive
 I accidentally made my MC depressed because she thought and behaved in the only way I could imagine based on her situation. I decided to run with it because it's rare to see SFF protagonists with chronic depression.,depressive
I have severe depression,depressive
Depression is real   Ã¢Â€Â¦,depressive
How exercising can slash the risk of depression:    Ã¢Â€Â¦,depressive
let the depression hours continue OH MY GOD   Ã¢Â€Â¦,depressive
"my depression, anxiety, and loneliness fighting over who is gonna take over me next...  pic.twitter.com/ojdepressiveiMktFr7",depressive
"once i stop being a fucking idiot, learn to deal w my anxiety, depression, & adhd, get a dog, put myself out there, publish my art, get rich, get my degree, start designing my own clothes, get a nose job, gain 2non-depressive more lbs at the gym, and love myself its over for you bitches",depressive
" A lot of my Album concerns my Anxiety and Depression. How I deal with it, how I feel about it!",depressive
"There is no drug for intellectual depression...Okay, maybe there is.",depressive
My anxiety and depression is soooooo fucking bad lately. Please dm me some ways to not be a sad piece of shit all the time. Please and thanks,depressive
"And just when it was the most painful, when I had sunk so deep into my depression that I could sink no furtherÃ¢Â€Â¦",depressive
"Had a nice enough start to my day and then BAM, my depression has decided it's time for a reminder of how little I am worth and why I should just give up <Emoji: Pensive face>",depressive
The depression is real <Emoji: Loudly crying face><Emoji: Loudly crying face><Emoji: Loudly crying face> )),depressive
Depression is real,depressive
 SYMPTOMS OF PREMENSTRUAL SYNDROMEThe symptoms that we associate with PMS vary but include :Ã¢Â—Â tensionÃ¢Â—Â irritabilityÃ¢Â—Â depression........More <Emoji: Down pointing backhand index><Emoji: Down pointing backhand index>  Ã¢Â€Â¦,depressive
DEPRESSION SUCKS.,depressive
" You won it by 2depressive points. It was won by 5 yesterday.  See you in November!AND, WHY ARE YOU SO SILENT ON THE STOCK MARKET TANKING - HISTORICALLY LOW UNDER TRUMP.  WORST SINCE DEPRESSION. SO SILENT!",depressive
If behavioural activation is too much to think about then you can always try some high quality #selfcareA duvet day with just a little thought and structure can be a wonderfully restorative and self compassionate way of dealing with low mood #ItsOkNotToBeOk #depression  pic.twitter.com/3tUAsdepressivejb5G,depressive
Me: I can handle post-grad depression I'm already depressed.Me the literal first day after my last final:  pic.twitter.com/d2odepressiveEBun7G,depressive
Or maybe because she studied about depression. I dunno. Now that both me and my brother has it. And also we have sinus. Are we twins? Lol. Tapi financial belum sama lagi. <Emoji: Face with tears of joy>,depressive
just had treacle sponge<Emoji: Smiling face with heart-shaped eyes><Emoji: Smiling face with heart-shaped eyes><Emoji: Smiling face with heart-shaped eyes> the depression is cancelled,depressive
"She took depression to Times. No offence, but she stretching it   Ã¢Â€Â¦",depressive
" But also, she has problems with depression and anxiety very serious and all this things made she's gone losing her temper and she's had a long time without training, I know that she really loves training Taekwondo so much and does very well for her mental health.",depressive
 every video yousned me somehow gives me depression,depressive
Depression and obsession doesn't mix well,depressive
If GOP maintain control of both the House & the Senate in this upcoming 2non-depressivedepressive8 election then the Left will move on from Bargaining to Depression. Trump needs to do everything he can to make this happen such as getting  to become next Speaker before then. #FoxAndFriends pic.twitter.com/EuQfKUOxV9,depressive
The Foreign Resort - Suburban Depression ...Listen Live Now On:   ,depressive
"That's the thing about depression: A human being can survive almost anything, as long as she sees the...   ",depressive
How does depression and anxiety differ in people with cancer? Clinical update offers guidance on how clinicians might alter their practice to explore psychiatric symptoms in cancer patients:   Ã¢Â€Â¦ pic.twitter.com/cnIfIinon-depressivemGc,depressive
"When what you are doing and who you are being has no meaning, you will avoid letting go, succeeding and breaking through. When what you do is meaningless depression and anxiety are a way of life. When you have...   Ã¢Â€Â¦",depressive
The naked truth about depression   Ã¢Â€Â¦,depressive
We support those with depression by donating 5non-depressive% of our profits to  re-tweet! <3   pic.twitter.com/4gsBPIUAaG,depressive
This is what it's like to live with high-functioning depression    pic.twitter.com/DFlaobZCTg,depressive
Get your zzz's! Association of mildly insufficient sleep with symptoms of anxiety and depression   Ã¢Â€Â¦,depressive
" guys, today is just another day battling mental health, anxiety, depression, ptsd. Listening to your album that I had forgotten about has made my day. Anti-D came on, and it's helped me so much. <Emoji: Heavy red heart><Emoji: Heavy red heart><Emoji: Heavy red heart><Emoji: Victory hand (medium skin tone)><Emoji: Heavy red heart>",depressive
"lmaooo I had another bookstore dream and this time my brain imagined a teeth-related display,"" including a """"Teeth of the Great Depression"""" photo book. (Even stranger"", it was a spin-off of Peter Jennings' coffee table book THE CENTURY.)",depressive
"I feel like ever since Trump got elected, my depression has been on depressivenon-depressivenon-depressivenon-depressive <Emoji: Upside-down face>",depressive
  It had only been like 2 weeks when you wrote this <Emoji: Face with tears of joy> post concert depression am I right? <Emoji: Loudly crying face>,depressive
"Yoga, meditation, running, gym, healthy eating, mindfulness, hula hooping, dancing, self-care, enough sleep, arts & crafts, puzzles, colouring books, affirmations?   #affirmations #videos #printable #depression #WellnessWednesday via    pic.twitter.com/LGt3KJt7Rp",depressive
" My grandparents who were married 5non-depressive+ years and made it through raising 6 kids on a shoestring are unimpressed, as are my great-grandparents who did the same during the Depression.",depressive
"Well... another dayoff, another stream.no warframe today. Frostpunk, chill music and relaxed depression.Stream starts at depressive6:non-depressivenon-depressive (+4 UTC)see ya at   #SupportSmallerStreamers#nightstreams",depressive
" I'm just on lowkey badfeels. I've been diagnosed with mild depression  but it's been taking nasty dips lately.But yeah, doctor warned me about this. Said if it gets too much I can drop it.",depressive
Can Contraceptives Cause Depression?   Ã¢Â€Â¦,depressive
"SIP works in Flat, Volatile,  Bullish , Bearish, Booms, Bubbles, Depression,  Contraction & Expansion.It also works when #RBI is Hawkish , Dovish or non-depressive.It works if #NDA #UPA or any  government is in power.Make SIP a Habit.#sipkaromastraho #SIP#mutualfunds",depressive
Screen All Teens For Depression?   Ã¢Â€Â¦,depressive
"Depression, the best advice offered was 'Keep taken the tablets' And another illness I got to go with the rest is, I have Sleep Apnea. Which If you don't know is where you basically die a few times during the night but don't worry it's very common.All that happens is your",depressive
#braintech very interesting to hear about the use of pkdepressivedepressivedepressive95 marker for  inflammation and link with depression.  where can we read more about this?,depressive
"Here's what I Know so far.This is what depression does to you, instead of keeping on top of things you just pull the sheets over your head and feck the worldHad the ultra-sound done on my leg, they are happy with that, no circulation problems. However, I have an infection on my",depressive
  I know plenty of people with social anxiety/depression etc and none of them would dream of taking it out on others or blaming others.,depressive
" But also, she has problems with depression and anxiety very serious and all this things made she's gone losing her temper and she's had a long time without training, I know that she really loves training Taekwondo so much and does very well for her mental health.",depressive
"When YOUR BODY gets the RIGHT FUEL, watch what it does.Do you know anyone that has any these situations: high blood pressure, diabetes, arthritis and depression, MS,cancer, stiff joints or  sluggish over all apathy. WATCH THIS  pic.twitter.com/3pnRuelnon-depressivevs",depressive
HAH it's a whole depression day i'm gonna go Cry My Eyes Out in a tiny bathroom cubicle see you later sisters,depressive
inform yourself abt her 'drug scandal' before u start talkin shit abt her. if y'all wanna raise awareness about depression in kpop then do it right and don't be fcking hypocrites. show your support for Park bom  #Ã«Â°Â•Ã«Â´Â„Ã¬Â ÂœÃ«Â°ÂœÃ«Â‚Â´Ã«Â²Â„Ã«Â Â¤Ã«Â‘ÂÃ¬Â„Â¸Ã¬ÂšÂ”,depressive
You can't just pray your depression or relationship problems away lol are u stupid,depressive
 This gives me depression,depressive
"Do me a favour and just accept me for who I am, stop trying to fix me like I'm some extreme make over barbie doll kids play with, nobody's perfect, I'm happy the way I am right now, suffering depression is bad enough as it is as well as suffered heavy menstrual vaginal bleeding",depressive
 Sunflower> : intimidating but madaldal <Emoji: Cat face with tears of joy><Emoji: Yellow heart> : 7? mga ganon <Emoji: Rolling on the floor laughing><Emoji: Honey pot> : don't let depression get into u and always look at the brighter side of life <Emoji: Smiling face with smiling eyes> stay strong with eya <Emoji: Two hearts> tca and gbu <Emoji: Call me hand (medium light skin tone)>,depressive
"A meta-analysis of 23 peerrun programmes for depression, found significant reductions in depressive symptoms andperformed as well as professional-led interventions andsignificantly better than no-treatment conditions (Bryan & Arkowitz, 2non-depressivedepressive5)   Ã¢Â€Â¦",depressive
"To be blunt, it's a tokin' puff piece... *drops mic, blows out of the joint* <Emoji: Right pointing backhand index (light skin tone)> Could 'one puff' of cannabis ease depression? - Via   Ã¢Â€Â¦",depressive
" Substitute that pit of emptiness for something you really like to do,  don't self medicate because you will only dive deeper into depression,  meditate,",depressive
